"p","K","rho_across","Method","Metric","Median","Q25","Q75"
30,2,0.3,"Inverse-Wishart","log_score",-0.830069815552887,-1.67046919428462,-0.59731705462607
30,2,0.3,"Bayesian GL","mse",0.0266583487898858,0.0222799851265838,0.0297812884989777
30,2,0.3,"Bayesian GL","log_score",-0.971118415003181,-1.36263381885291,-0.707902452320277
30,2,0.3,"Adaptive Bayesian GL","mse",0.0229956635139626,0.0199169595622236,0.0246900952776919
30,2,0.3,"Adaptive Bayesian GL","log_score",-0.8730762188274,-1.38532096900866,-0.63448372431506
30,2,0.3,"Bayesian FGL","mse",0.0269113628301063,0.0220436820456872,0.0285729623240216
30,2,0.3,"Bayesian FGL","log_score",-0.957972367295006,-1.41532591672562,-0.666543871848519
50,2,0.3,"Sample Cov. Inverse","mse",0.0521238408049868,0.0424367697309245,0.0597931522113102
50,2,0.3,"Sample Cov. Inverse","log_score",-1.52450437360229,-2.96614541890532,-0.566919700476709
50,2,0.3,"Inverse-Wishart","mse",0.052266546171872,0.0472889327156948,0.0586713753707162
50,2,0.3,"Inverse-Wishart","log_score",-1.39915984318573,-2.44489087737198,-0.572701186804559
50,2,0.3,"Bayesian GL","mse",0.0161709495656852,0.015254379249082,0.0186230610545135
50,2,0.3,"Bayesian GL","log_score",-0.759840275814434,-1.42042792468374,-0.456629838389462
50,2,0.3,"Adaptive Bayesian GL","mse",0.0153817982220496,0.0138166704505743,0.015873370006826
50,2,0.3,"Adaptive Bayesian GL","log_score",-0.688902312232042,-0.988808656563523,-0.4493153210099
50,2,0.3,"Bayesian FGL","mse",0.0173893212690057,0.0157452111300672,0.0182929567851194
50,2,0.3,"Bayesian FGL","log_score",-0.751300144955293,-1.33226171708495,-0.460823201257181
5,3,0,"Sample Cov. Inverse","mse",0.00437224429862897,0.0022793007027899,0.00894067331067521
5,3,0,"Sample Cov. Inverse","log_score",-0.563095852565929,-0.757187513436543,-0.328240547911599
5,3,0,"Inverse-Wishart","mse",0.0108439093551454,0.00844469668557544,0.0149834018017022
5,3,0,"Inverse-Wishart","log_score",-0.553100190565832,-0.7608462076779,-0.331847965837474
5,3,0,"Bayesian GL","mse",0.0083805897879802,0.00654008311281871,0.00996407460790774
5,3,0,"Bayesian GL","log_score",-0.526069265928466,-0.757741190288445,-0.370637965388018
5,3,0,"Adaptive Bayesian GL","mse",0.00542972618155704,0.00411160172697016,0.00784067189493936
5,3,0,"Adaptive Bayesian GL","log_score",-0.566529765469472,-0.703071253812776,-0.348521829654457
5,3,0,"Bayesian FGL","mse",0.0100336819646707,0.00800764921617261,0.0137194058718454
5,3,0,"Bayesian FGL","log_score",-0.561091941765858,-0.773921206840508,-0.348207426701466
10,3,0,"Sample Cov. Inverse","mse",0.0113042820132739,0.00894832417646796,0.0180563191765886
10,3,0,"Sample Cov. Inverse","log_score",-0.465253101565648,-0.610963783310294,-0.322454941284402
10,3,0,"Inverse-Wishart","mse",0.0199673772089282,0.0174397031263709,0.0246416165651327
10,3,0,"Inverse-Wishart","log_score",-0.465040803821166,-0.59620764603248,-0.304407398442569
10,3,0,"Bayesian GL","mse",0.0151890237120619,0.0134063277513937,0.0178632896159009
10,3,0,"Bayesian GL","log_score",-0.480016236717686,-0.657931335204073,-0.358269806318871
10,3,0,"Adaptive Bayesian GL","mse",0.00892211967713978,0.00773661419613816,0.0108902072799142
10,3,0,"Adaptive Bayesian GL","log_score",-0.438882419712676,-0.58765010380468,-0.288069693135257
10,3,0,"Bayesian FGL","mse",0.0175015617820083,0.0146574643634081,0.018612917635104
10,3,0,"Bayesian FGL","log_score",-0.479019153194413,-0.544713243399525,-0.329493798092551
20,3,0,"Sample Cov. Inverse","mse",0.0163248471204451,0.0129082103327842,0.0202496656077217
20,3,0,"Sample Cov. Inverse","log_score",-0.703383023252959,-1.6328921990574,-0.338755808791034
20,3,0,"Inverse-Wishart","mse",0.0238753433802616,0.0210793163183575,0.0266613516932824
20,3,0,"Inverse-Wishart","log_score",-0.690149366301617,-1.44445581514439,-0.357633181477327
20,3,0,"Bayesian GL","mse",0.0151508688564531,0.0139401216453317,0.0166442679039634
20,3,0,"Bayesian GL","log_score",-0.667782849729959,-1.50398519232387,-0.296942712812068
20,3,0,"Adaptive Bayesian GL","mse",0.00984136474872351,0.00945555370094486,0.0115011067200406
20,3,0,"Adaptive Bayesian GL","log_score",-0.530335136679783,-1.18003172297032,-0.350578475734589
20,3,0,"Bayesian FGL","mse",0.0153926419730814,0.0141802820044174,0.0165945937847493
20,3,0,"Bayesian FGL","log_score",-0.695825603468405,-1.26449116945943,-0.336072759303297
30,3,0,"Sample Cov. Inverse","mse",0.0186021424308851,0.0141996338140984,0.022908837009239
30,3,0,"Sample Cov. Inverse","log_score",-0.783347705601081,-1.47876792458536,-0.374244203510517
30,3,0,"Inverse-Wishart","mse",0.0243152067953914,0.0225427728388071,0.0302371090001084
30,3,0,"Inverse-Wishart","log_score",-0.765512071842383,-1.345731691377,-0.433134308937259
30,3,0,"Bayesian GL","mse",0.0127281708818959,0.0113329326623713,0.0144335418610515
30,3,0,"Bayesian GL","log_score",-0.820331799968697,-1.24391247262019,-0.553981293668171
30,3,0,"Adaptive Bayesian GL","mse",0.00989375777300045,0.00942672266926334,0.0109624187037709
30,3,0,"Adaptive Bayesian GL","log_score",-0.70438662047461,-1.24167523086063,-0.508639655114135
30,3,0,"Bayesian FGL","mse",0.0134641268056586,0.0117439166354349,0.0146515653993885
30,3,0,"Bayesian FGL","log_score",-0.692155201527952,-1.3292536838139,-0.454849194009843
50,3,0,"Sample Cov. Inverse","mse",0.0240468834712563,0.0202795215017986,0.0299164818807098
50,3,0,"Sample Cov. Inverse","log_score",-0.641104568260904,-1.53148144863762,-0.0719852675514408
50,3,0,"Inverse-Wishart","mse",0.025714755418822,0.0218078919813729,0.0286421991409849
50,3,0,"Inverse-Wishart","log_score",-0.631318521949525,-1.09893043373582,-0.149151606272739
50,3,0,"Bayesian GL","mse",0.00840713352558209,0.00736257101248857,0.00974498722839189
50,3,0,"Bayesian GL","log_score",-0.394003852520873,-0.902256119907373,-0.110142980103723
50,3,0,"Adaptive Bayesian GL","mse",0.00704779513147546,0.00605829758378395,0.00799338228710201
50,3,0,"Adaptive Bayesian GL","log_score",-0.407931226851997,-0.815339710969121,-0.219442054510114
50,3,0,"Bayesian FGL","mse",0.00892734703149953,0.00764962322440909,0.00984691005470104
