"p","bias_tau","Method","Metric","Median","Q25","Q75"
30,0.2,"Bayesian FGL","log_score",-0.815462175548275,-1.29426723685897,-0.430817902506361
50,0.2,"Sample Cov. Inverse","mse",0.0316362499356752,0.025892951508742,0.0349842229891218
50,0.2,"Sample Cov. Inverse","log_score",-1.80812780753271,-3.52013337151908,-0.304182748526004
50,0.2,"Inverse-Wishart","mse",0.0307749050742184,0.0269689185919924,0.0360177135431146
50,0.2,"Inverse-Wishart","log_score",-0.877431449493018,-2.44086215969016,-0.308173800740754
50,0.2,"Bayesian GL","mse",0.0094590572347735,0.0090638888682038,0.0106140688919922
50,0.2,"Bayesian GL","log_score",-0.448870547849086,-1.13329382522762,-0.204497587343947
50,0.2,"Adaptive Bayesian GL","mse",0.00834377900103554,0.00807325242221451,0.00975237524117466
50,0.2,"Adaptive Bayesian GL","log_score",-0.361184184178106,-0.782680723761037,-0.218459246713708
50,0.2,"Bayesian FGL","mse",0.00997769245112286,0.00941124670333864,0.0112565777267345
50,0.2,"Bayesian FGL","log_score",-0.474318991264435,-1.166664459758,-0.211027858261586
5,0.5,"Sample Cov. Inverse","mse",0.0108300227479166,0.00541641240910841,0.0158255892739612
5,0.5,"Sample Cov. Inverse","log_score",-1.34659003385951,-1.8423388605284,-0.600412219995322
5,0.5,"Inverse-Wishart","mse",0.0200078859581451,0.0139850669092835,0.0252210980082264
5,0.5,"Inverse-Wishart","log_score",-1.14217614136567,-1.44216769539944,-0.630271461319071
5,0.5,"Bayesian GL","mse",0.016060624175712,0.00916691032287388,0.0241348883744084
5,0.5,"Bayesian GL","log_score",-1.09544117418895,-1.52801908058897,-0.74321513126283
5,0.5,"Adaptive Bayesian GL","mse",0.0111632748450084,0.00702512223255319,0.0224269835906951
5,0.5,"Adaptive Bayesian GL","log_score",-1.2250211643809,-1.84943366972022,-0.709934343117006
5,0.5,"Bayesian FGL","mse",0.0160292336471434,0.0116232664887259,0.0230248774794713
5,0.5,"Bayesian FGL","log_score",-1.13126348600973,-1.45012489536467,-0.633396505275003
10,0.5,"Sample Cov. Inverse","mse",0.0120365850625519,0.0082694389770799,0.0161969851609149
10,0.5,"Sample Cov. Inverse","log_score",-0.546842818907975,-0.927309160213891,-0.392446002206965
10,0.5,"Inverse-Wishart","mse",0.0206157490565706,0.0170216434502131,0.0240353443131549
10,0.5,"Inverse-Wishart","log_score",-0.536213714821334,-1.05882694560091,-0.376128710506045
10,0.5,"Bayesian GL","mse",0.0177823868450324,0.0142261086730123,0.0214263039015742
10,0.5,"Bayesian GL","log_score",-0.590131540070431,-1.12568382242148,-0.459622106513698
10,0.5,"Adaptive Bayesian GL","mse",0.0124821005704544,0.00945367066135947,0.0147301293482386
